fname,1,2,3,lp,stack
027a8b14.wav,Finger_snapping,Hi-hat,Scissors,,Finger_snapping
027dbe3e.wav,Bass_drum,Double_bass,Knock,,Bass_drum
027f06cc.wav,Squeak,Laughter,Violin_or_fiddle,Squeak,Squeak
028278f0.wav,Trumpet,Clarinet,Oboe,Trumpet,Trumpet
028db587.wav,Double_bass,Bass_drum,Cello,,Double_bass
02960f07.wav,Scissors,Writing,Tearing,Scissors,Scissors
0298b2c6.wav,Flute,Oboe,Saxophone,Flute,Flute
02a0eb3c.wav,Acoustic_guitar,Bus,Telephone,,Acoustic_guitar
02ad476f.wav,Squeak,Drawer_open_or_close,Laughter,,Squeak
02af55f6.wav,Acoustic_guitar,Electric_piano,Double_bass,Acoustic_guitar,Acoustic_guitar
02c3af87.wav,Trumpet,Clarinet,Oboe,Trumpet,Trumpet
02c46d0b.wav,Acoustic_guitar,Double_bass,Cello,Acoustic_guitar,Acoustic_guitar
02c6f112.wav,Cello,Violin_or_fiddle,Drawer_open_or_close,,Cello
02cb4d01.wav,Bass_drum,Double_bass,Gunshot_or_gunfire,,Gunshot_or_gunfire
02d5dc55.wav,Bass_drum,Knock,Flute,Bass_drum,Bass_drum
02d9b93c.wav,Saxophone,Flute,Clarinet,Saxophone,Saxophone
02df943b.wav,Bass_drum,Knock,Gunshot_or_gunfire,Bass_drum,Bass_drum
02e99b5e.wav,Cello,Saxophone,Clarinet,,Cello
02f8d82c.wav,Trumpet,Saxophone,Clarinet,Trumpet,Trumpet
02fb6c5b.wav,Knock,Bass_drum,Writing,Knock,Knock
0300b76b.wav,Acoustic_guitar,Laughter,Bus,,Acoustic_guitar
0303e3a5.wav,Bass_drum,Double_bass,Microwave_oven,,Bass_drum
03079bb2.wav,Computer_keyboard,Scissors,Writing,,Computer_keyboard
030bacc6.wav,Drawer_open_or_close,Microwave_oven,Double_bass,,Drawer_open_or_close
030db750.wav,Telephone,Squeak,Chime,,Telephone
0310089a.wav,Flute,Oboe,Clarinet,Flute,Flute
0316ff65.wav,Bass_drum,Knock,Drawer_open_or_close,,Bass_drum
03199dbe.wav,Cello,Double_bass,Violin_or_fiddle,,Cello
031b6d8f.wav,Flute,Saxophone,Trumpet,Flute,Flute
03319789.wav,Violin_or_fiddle,Cowbell,Bark,Violin_or_fiddle,Violin_or_fiddle
033a0cbe.wav,Bass_drum,Knock,Double_bass,,Bass_drum
0345130c.wav,Trumpet,Applause,Cello,Trumpet,Trumpet
034b1b41.wav,Flute,Clarinet,Oboe,Flute,Flute
034c1c69.wav,Flute,Saxophone,Trumpet,Flute,Flute
035e420f.wav,Tambourine,Hi-hat,Cough,,Tambourine
036c1697.wav,Acoustic_guitar,Tearing,Writing,Acoustic_guitar,Acoustic_guitar
036f228c.wav,Clarinet,Oboe,Bass_drum,Clarinet,Clarinet
03786473.wav,Clarinet,Squeak,Violin_or_fiddle,,Squeak
037e7b6f.wav,Flute,Cello,Violin_or_fiddle,Flute,Flute
0381efd3.wav,Double_bass,Cello,Gong,,Double_bass
038397e9.wav,Bass_drum,Hi-hat,Gunshot_or_gunfire,Bass_drum,Bass_drum
03858091.wav,Bass_drum,Knock,Drawer_open_or_close,Bass_drum,Bass_drum
03888259.wav,Double_bass,Acoustic_guitar,Electric_piano,,Double_bass
0394e0d4.wav,Hi-hat,Bass_drum,Flute,,Hi-hat
03953467.wav,Flute,Saxophone,Bass_drum,Flute,Flute
039d36e9.wav,Cello,Violin_or_fiddle,Oboe,,Cello
03ab8828.wav,Fireworks,Gunshot_or_gunfire,Microwave_oven,,Fireworks
03af84e5.wav,Clarinet,Oboe,Saxophone,Clarinet,Clarinet
03b7faf1.wav,Squeak,Writing,Keys_jangling,,Squeak
03c1c5f4.wav,Flute,Oboe,Saxophone,Flute,Flute
03c5bfbb.wav,Gunshot_or_gunfire,Bass_drum,Fireworks,,Gunshot_or_gunfire
03d2bdca.wav,Clarinet,Saxophone,Trumpet,Clarinet,Clarinet
03d5a89c.wav,Clarinet,Saxophone,Flute,Clarinet,Clarinet
03e1e393.wav,Acoustic_guitar,Burping_or_eructation,Chime,,Acoustic_guitar
03e2ecd9.wav,Acoustic_guitar,Electric_piano,Gong,,Acoustic_guitar
03e860b2.wav,Trumpet,Flute,Saxophone,Trumpet,Trumpet
03f2e21f.wav,Cello,Saxophone,Double_bass,,Cello
03f39877.wav,Hi-hat,Fireworks,Bass_drum,,Hi-hat
03fafd5b.wav,Double_bass,Cello,Gong,,Double_bass
03fccc98.wav,Bass_drum,Knock,Computer_keyboard,,Bass_drum
0402129f.wav,Snare_drum,Drawer_open_or_close,Squeak,,Squeak
040258a9.wav,Cello,Drawer_open_or_close,Violin_or_fiddle,,Cello
041521b0.wav,Bass_drum,Gunshot_or_gunfire,Knock,,Bass_drum
04154da3.wav,Bass_drum,Snare_drum,Finger_snapping,Bass_drum,Bass_drum
0419676b.wav,Clarinet,Trumpet,Gong,Clarinet,Clarinet
041983cd.wav,Acoustic_guitar,Cello,Gong,Acoustic_guitar,Acoustic_guitar
04199401.wav,Fart,Meow,Squeak,,Fart
041c68ec.wav,Cello,Violin_or_fiddle,Trumpet,,Cello
041c7581.wav,Cello,Violin_or_fiddle,Flute,,Cello
041eed83.wav,Drawer_open_or_close,Microwave_oven,Squeak,,Drawer_open_or_close
0422b811.wav,Burping_or_eructation,Cough,Bark,Burping_or_eructation,Burping_or_eructation
0448c553.wav,Bass_drum,Knock,Gunshot_or_gunfire,Bass_drum,Bass_drum
0448d513.wav,Cello,Flute,Trumpet,,Cello
044aef8a.wav,Keys_jangling,Squeak,Scissors,,Scissors
045931e0.wav,Bark,Telephone,Meow,,Telephone
0459ee65.wav,Clarinet,Trumpet,Flute,Clarinet,Clarinet
045c6122.wav,Gunshot_or_gunfire,Bass_drum,Computer_keyboard,,Gunshot_or_gunfire
045c9ea8.wav,Clarinet,Trumpet,Flute,Clarinet,Clarinet
04605af5.wav,Shatter,Hi-hat,Tambourine,,Shatter
046250d3.wav,Cello,Double_bass,Clarinet,,Cello
046486df.wav,Computer_keyboard,Keys_jangling,Applause,,Computer_keyboard
0468ad68.wav,Flute,Clarinet,Cello,Flute,Flute
046e86b5.wav,Hi-hat,Telephone,Tambourine,,Hi-hat
047b5857.wav,Cello,Squeak,Drawer_open_or_close,,Cello
047bf19c.wav,Flute,Clarinet,Oboe,,Flute
047e0d21.wav,Trumpet,Harmonica,Flute,Trumpet,Trumpet
048470a5.wav,Squeak,Shatter,Meow,Squeak,Squeak
04a301e9.wav,Trumpet,Cello,Violin_or_fiddle,Trumpet,Trumpet
04ab46a9.wav,Cello,Flute,Double_bass,,Cello
04ab4e22.wav,Tambourine,Hi-hat,Keys_jangling,,Tambourine
04b031df.wav,Hi-hat,Cowbell,Snare_drum,,Hi-hat
04b249bd.wav,Drawer_open_or_close,Fireworks,Squeak,,Drawer_open_or_close
04b7ef77.wav,Flute,Saxophone,Violin_or_fiddle,Flute,Flute
04bdae57.wav,Hi-hat,Bass_drum,Shatter,,Hi-hat
04c2ed9c.wav,Clarinet,Trumpet,Saxophone,Clarinet,Clarinet
04d15abd.wav,Trumpet,Clarinet,Applause,Trumpet,Trumpet
04dbef05.wav,Cello,Violin_or_fiddle,Trumpet,,Cello
04dddbf5.wav,Bass_drum,Snare_drum,Finger_snapping,Bass_drum,Bass_drum
04ecda67.wav,Bass_drum,Knock,Telephone,Bass_drum,Bass_drum
04ed8568.wav,Bass_drum,Flute,Knock,Bass_drum,Bass_drum
04f232c6.wav,Bass_drum,Gunshot_or_gunfire,Knock,,Gunshot_or_gunfire
04f46a27.wav,Bass_drum,Knock,Double_bass,Bass_drum,Bass_drum
04f85a49.wav,Acoustic_guitar,Saxophone,Cello,Acoustic_guitar,Acoustic_guitar
04fb8280.wav,Acoustic_guitar,Electric_piano,Double_bass,Acoustic_guitar,Acoustic_guitar
0509ce2f.wav,Hi-hat,Flute,Harmonica,,Hi-hat
0520faf4.wav,Clarinet,Microwave_oven,Squeak,Clarinet,Clarinet
05296d2a.wav,Clarinet,Trumpet,Cello,Clarinet,Clarinet
0529d428.wav,Bass_drum,Knock,Microwave_oven,,Bass_drum
0539bb41.wav,Acoustic_guitar,Chime,Bus,,Acoustic_guitar
053a5fc6.wav,Hi-hat,Bass_drum,Trumpet,,Hi-hat
053b4c56.wav,Fart,Squeak,Tearing,,Fart
053e7bb5.wav,Snare_drum,Hi-hat,Violin_or_fiddle,,Snare_drum
054508f3.wav,Bass_drum,Hi-hat,Flute,Bass_drum,Bass_drum
0548124b.wav,Gunshot_or_gunfire,Double_bass,Bass_drum,,Gunshot_or_gunfire
054dbf39.wav,Clarinet,Flute,Violin_or_fiddle,Clarinet,Clarinet
054eeab6.wav,Bark,Cough,Laughter,,Bark
05562991.wav,Flute,Violin_or_fiddle,Trumpet,Flute,Flute
0558af35.wav,Meow,Squeak,Saxophone,,Meow
0568741b.wav,Acoustic_guitar,Violin_or_fiddle,Electric_piano,Acoustic_guitar,Acoustic_guitar
05723b3a.wav,Cello,Drawer_open_or_close,Saxophone,,Cello
057425e6.wav,Fart,Squeak,Cough,,Fart
0576d7ba.wav,Fart,Laughter,Cough,Fart,Fart
057c2963.wav,Clarinet,Trumpet,Bass_drum,Clarinet,Clarinet
0586f0e0.wav,Meow,Squeak,Oboe,Meow,Meow
058a0e87.wav,Bass_drum,Electric_piano,Telephone,Bass_drum,Bass_drum
058e63ea.wav,Tambourine,Hi-hat,Bass_drum,,Tambourine
0594d8c2.wav,Hi-hat,Flute,Clarinet,,Hi-hat
059d5420.wav,Saxophone,Oboe,Clarinet,Saxophone,Saxophone
059ffef4.wav,Trumpet,Clarinet,Violin_or_fiddle,,Trumpet
05a15a14.wav,Flute,Cello,Clarinet,Flute,Flute
05ad10fb.wav,Trumpet,Gong,Cello,,Trumpet
05ae0583.wav,Gong,Finger_snapping,Violin_or_fiddle,,Gong
05c2056b.wav,Flute,Clarinet,Cello,,Flute
05c8453f.wav,Fireworks,Applause,Bus,,Fireworks
05cae96f.wav,Gunshot_or_gunfire,Computer_keyboard,Bass_drum,,Gunshot_or_gunfire
05cc88d2.wav,Gunshot_or_gunfire,Applause,Computer_keyboard,,Computer_keyboard
05ccb0ff.wav,Acoustic_guitar,Bus,Telephone,Acoustic_guitar,Acoustic_guitar
05f3c709.wav,Gong,Laughter,Telephone,,Gong
05f40290.wav,Cello,Double_bass,Laughter,,Cello
05fc58ee.wav,Gunshot_or_gunfire,Bass_drum,Fart,Gunshot_or_gunfire,Gunshot_or_gunfire
05fca090.wav,Flute,Harmonica,Laughter,Flute,Flute
060428bd.wav,Acoustic_guitar,Electric_piano,Double_bass,Acoustic_guitar,Acoustic_guitar
0608d8b7.wav,Fireworks,Cello,Saxophone,,Fireworks
06123abf.wav,Acoustic_guitar,Telephone,Chime,Acoustic_guitar,Acoustic_guitar
062c3119.wav,Clarinet,Trumpet,Cello,Clarinet,Clarinet
062f9f91.wav,Squeak,Laughter,Chime,Squeak,Squeak
06308a6b.wav,Cello,Saxophone,Trumpet,,Cello
0630cf5e.wav,Acoustic_guitar,Electric_piano,Gong,Acoustic_guitar,Acoustic_guitar
0638da1a.wav,Snare_drum,Hi-hat,Violin_or_fiddle,,Snare_drum
063d81f8.wav,Clarinet,Trumpet,Saxophone,Clarinet,Clarinet
06718b47.wav,Trumpet,Saxophone,Violin_or_fiddle,Trumpet,Trumpet
0671a98a.wav,Trumpet,Flute,Clarinet,Trumpet,Trumpet
06775f3c.wav,Laughter,Acoustic_guitar,Drawer_open_or_close,,Laughter
0678a571.wav,Trumpet,Saxophone,Clarinet,Trumpet,Trumpet
067d6a04.wav,Flute,Cello,Clarinet,Flute,Flute
06827666.wav,Acoustic_guitar,Glockenspiel,Bass_drum,Acoustic_guitar,Acoustic_guitar
0682b1f6.wav,Gong,Hi-hat,Telephone,,Gong
0689d2f6.wav,Bass_drum,Knock,Drawer_open_or_close,Bass_drum,Bass_drum
069b1efa.wav,Flute,Cello,Bass_drum,Flute,Flute
069b4384.wav,Bass_drum,Knock,Drawer_open_or_close,Bass_drum,Bass_drum
069e4fb3.wav,Bus,Squeak,Fireworks,,Bus
06b27161.wav,Flute,Squeak,Microwave_oven,,Squeak
06bb374e.wav,Fart,Squeak,Gunshot_or_gunfire,,Fart
06bd2694.wav,Bass_drum,Gunshot_or_gunfire,Gong,Bass_drum,Bass_drum
06c33b21.wav,Bus,Tearing,Telephone,,Bus
06c535eb.wav,Telephone,Gong,Squeak,Telephone,Telephone
06d4796b.wav,Flute,Oboe,Meow,Flute,Flute
06dcd7a0.wav,Squeak,Microwave_oven,Fireworks,,Squeak
06e1d866.wav,Squeak,Laughter,Saxophone,,Squeak
06e4a7a3.wav,Acoustic_guitar,Cello,Bass_drum,Acoustic_guitar,Acoustic_guitar
06e4c394.wav,Violin_or_fiddle,Cello,Saxophone,Violin_or_fiddle,Violin_or_fiddle
06ee2e39.wav,Trumpet,Saxophone,Oboe,Trumpet,Trumpet
06faccbf.wav,Acoustic_guitar,Computer_keyboard,Microwave_oven,,Acoustic_guitar
06fbe4da.wav,Electric_piano,Double_bass,Acoustic_guitar,,Electric_piano
070096e9.wav,Clarinet,Oboe,Saxophone,Clarinet,Clarinet
070204c5.wav,Finger_snapping,Gunshot_or_gunfire,Tearing,,Squeak
07038d45.wav,Squeak,Scissors,Meow,,Squeak
07063bc9.wav,Keys_jangling,Tambourine,Writing,,Keys_jangling
070fea08.wav,Clarinet,Oboe,Flute,Clarinet,Clarinet
0716b51d.wav,Double_bass,Knock,Bass_drum,,Double_bass
071b2b62.wav,Acoustic_guitar,Burping_or_eructation,Laughter,Acoustic_guitar,Acoustic_guitar
071e7724.wav,Knock,Bass_drum,Double_bass,,Knock
071f4c75.wav,Flute,Clarinet,Violin_or_fiddle,,Flute
0722054b.wav,Clarinet,Cello,Flute,Clarinet,Clarinet
07256457.wav,Trumpet,Oboe,Saxophone,Trumpet,Trumpet
0730b080.wav,Computer_keyboard,Knock,Bass_drum,,Computer_keyboard
0736d78e.wav,Fart,Laughter,Squeak,Fart,Fart
073d6755.wav,Microwave_oven,Acoustic_guitar,Double_bass,,Microwave_oven
0745def5.wav,Acoustic_guitar,Bass_drum,Snare_drum,Acoustic_guitar,Acoustic_guitar
0751e141.wav,Hi-hat,Trumpet,Shatter,,Hi-hat
0755629f.wav,Knock,Drawer_open_or_close,Bass_drum,,Knock
075591e8.wav,Bass_drum,Knock,Double_bass,,Bass_drum
0760a9e7.wav,Scissors,Keys_jangling,Squeak,Scissors,Scissors
076176f4.wav,Glockenspiel,Gunshot_or_gunfire,Scissors,,Glockenspiel
0761d26b.wav,Applause,Gunshot_or_gunfire,Cello,,Applause
07642d1b.wav,Acoustic_guitar,Cello,Saxophone,,Acoustic_guitar
07682400.wav,Oboe,Meow,Bass_drum,,Oboe
076d3b6c.wav,Trumpet,Clarinet,Cello,Trumpet,Trumpet
0776b083.wav,Hi-hat,Bass_drum,Oboe,,Hi-hat
07776603.wav,Trumpet,Cello,Applause,Trumpet,Trumpet
0779cb34.wav,Chime,Telephone,Microwave_oven,,Telephone
077a7711.wav,Fart,Cough,Snare_drum,,Squeak
0790d4f8.wav,Tearing,Hi-hat,Fart,,Tearing
079367a7.wav,Flute,Saxophone,Clarinet,Flute,Flute
07954767.wav,Bass_drum,Finger_snapping,Flute,Bass_drum,Bass_drum
07989042.wav,Trumpet,Clarinet,Saxophone,Trumpet,Trumpet
0799369e.wav,Oboe,Clarinet,Saxophone,,Oboe
079faac8.wav,Harmonica,Squeak,Meow,,Harmonica
07a8ddbf.wav,Shatter,Tambourine,Scissors,Shatter,Shatter
07ab0dcf.wav,Cello,Double_bass,Saxophone,,Cello
07b0fe34.wav,Fart,Bus,Writing,,Tearing
07b9c04c.wav,Bass_drum,Acoustic_guitar,Electric_piano,Bass_drum,Bass_drum
07bac4d1.wav,Hi-hat,Writing,Laughter,,Hi-hat
07c4fd98.wav,Acoustic_guitar,Electric_piano,Clarinet,Acoustic_guitar,Acoustic_guitar
07c8463e.wav,Laughter,Fart,Squeak,,Laughter
07c95625.wav,Meow,Laughter,Squeak,Meow,Meow
07cf422e.wav,Acoustic_guitar,Cello,Double_bass,Acoustic_guitar,Acoustic_guitar
07cffb09.wav,Fireworks,Saxophone,Clarinet,,Fireworks
07d5cca9.wav,Clarinet,Oboe,Saxophone,Clarinet,Clarinet
07d62787.wav,Trumpet,Saxophone,Violin_or_fiddle,Trumpet,Trumpet
07dcd326.wav,Gunshot_or_gunfire,Knock,Tearing,,Gunshot_or_gunfire
07eef0c0.wav,Cello,Double_bass,Clarinet,,Cello
07f06f30.wav,Bass_drum,Knock,Flute,Bass_drum,Bass_drum
07f1dab7.wav,Tambourine,Scissors,Keys_jangling,,Tambourine
07fbde49.wav,Trumpet,Violin_or_fiddle,Clarinet,Trumpet,Trumpet
0802d9ec.wav,Trumpet,Oboe,Saxophone,Trumpet,Trumpet
080b53cc.wav,Acoustic_guitar,Gong,Violin_or_fiddle,Acoustic_guitar,Acoustic_guitar
081fbfd3.wav,Fart,Scissors,Tearing,Fart,Fart
082cd9fe.wav,Acoustic_guitar,Snare_drum,Trumpet,Acoustic_guitar,Acoustic_guitar
083bba3c.wav,Clarinet,Oboe,Saxophone,Clarinet,Clarinet
0841041b.wav,Acoustic_guitar,Gong,Chime,Acoustic_guitar,Acoustic_guitar
08426322.wav,Bass_drum,Tearing,Writing,,Tearing
0844d331.wav,Oboe,Meow,Bass_drum,,Oboe
08593822.wav,Saxophone,Clarinet,Oboe,Saxophone,Saxophone
085a9c5b.wav,Cello,Violin_or_fiddle,Trumpet,,Cello
087248e6.wav,Flute,Clarinet,Oboe,,Flute
087ed746.wav,Flute,Saxophone,Clarinet,Flute,Flute
08854d8c.wav,Bass_drum,Finger_snapping,Hi-hat,Bass_drum,Bass_drum
088bb565.wav,Cello,Flute,Violin_or_fiddle,,Cello
08904a43.wav,Violin_or_fiddle,Gong,Acoustic_guitar,Violin_or_fiddle,Violin_or_fiddle
08911c36.wav,Fart,Snare_drum,Gunshot_or_gunfire,,Fart
08941c53.wav,Bass_drum,Computer_keyboard,Writing,,Bass_drum
0894d11f.wav,Hi-hat,Snare_drum,Fireworks,,Hi-hat
089f1097.wav,Trumpet,Knock,Gunshot_or_gunfire,,Trumpet
089f44b1.wav,Fart,Gunshot_or_gunfire,Tearing,,Fart
08a82608.wav,Violin_or_fiddle,Clarinet,Squeak,,Squeak
08be795d.wav,Tambourine,Shatter,Gunshot_or_gunfire,,Tambourine
08c9a7f7.wav,Bass_drum,Snare_drum,Acoustic_guitar,,Bass_drum
08d23bb8.wav,Gong,Fireworks,Gunshot_or_gunfire,,Gong
08d9501a.wav,Snare_drum,Gunshot_or_gunfire,Drawer_open_or_close,,Snare_drum
08ddd56e.wav,Gunshot_or_gunfire,Tearing,Bass_drum,,Gunshot_or_gunfire
08e27974.wav,Gunshot_or_gunfire,Shatter,Fireworks,,Gunshot_or_gunfire
08ecc0a1.wav,Bus,Gunshot_or_gunfire,Gong,,Bus
08f4b16b.wav,Fart,Squeak,Meow,Fart,Fart
08fcf830.wav,Flute,Clarinet,Saxophone,Flute,Flute
0921f1f2.wav,Acoustic_guitar,Electric_piano,Cello,,Acoustic_guitar
092a73e5.wav,Bass_drum,Double_bass,Gong,,Bass_drum
092d89a0.wav,Cello,Bass_drum,Trumpet,,Cello
093963d5.wav,Cello,Violin_or_fiddle,Flute,,Cello
0943fc2d.wav,Bass_drum,Finger_snapping,Hi-hat,Bass_drum,Bass_drum
09481a4c.wav,Bass_drum,Tambourine,Flute,Bass_drum,Bass_drum
095428e8.wav,Cello,Double_bass,Violin_or_fiddle,,Cello
09553ca1.wav,Bass_drum,Knock,Double_bass,Bass_drum,Bass_drum
095dd27c.wav,Scissors,Writing,Applause,,Scissors
0967cebd.wav,Saxophone,Clarinet,Trumpet,Saxophone,Saxophone
0969d9d1.wav,Cello,Clarinet,Oboe,,Cello
096c3969.wav,Trumpet,Squeak,Saxophone,Trumpet,Trumpet
096fd039.wav,Fart,Burping_or_eructation,Tearing,Fart,Fart
0976741c.wav,Acoustic_guitar,Glockenspiel,Microwave_oven,Acoustic_guitar,Acoustic_guitar
097cdef5.wav,Violin_or_fiddle,Bass_drum,Cowbell,Violin_or_fiddle,Violin_or_fiddle
0984ea36.wav,Acoustic_guitar,Double_bass,Cello,Acoustic_guitar,Acoustic_guitar
0995f876.wav,Saxophone,Applause,Cello,Saxophone,Saxophone
09983766.wav,Keys_jangling,Shatter,Writing,,Keys_jangling
09a14a8e.wav,Gunshot_or_gunfire,Bass_drum,Tearing,,Gunshot_or_gunfire
09b3e21c.wav,Clarinet,Cello,Trumpet,Clarinet,Clarinet
09c7044c.wav,Bass_drum,Gunshot_or_gunfire,Snare_drum,,Bass_drum
09c71587.wav,Cello,Double_bass,Applause,,Cello
09c8f697.wav,Bass_drum,Double_bass,Knock,Bass_drum,Bass_drum
09c9b50b.wav,Saxophone,Cough,Violin_or_fiddle,Saxophone,Saxophone
09cba9de.wav,Cello,Acoustic_guitar,Double_bass,,Cello
09d0535a.wav,Tearing,Fart,Snare_drum,,Tearing
09d2d1c0.wav,Saxophone,Trumpet,Cello,Saxophone,Saxophone
09e5a0ee.wav,Bass_drum,Double_bass,Electric_piano,,Bass_drum
09e83f2a.wav,Saxophone,Trumpet,Cello,Saxophone,Saxophone
09eb9ddb.wav,Cello,Clarinet,Double_bass,,Cello
09ec3afd.wav,Gunshot_or_gunfire,Bass_drum,Knock,,Gunshot_or_gunfire
09f02a4a.wav,Gunshot_or_gunfire,Fart,Drawer_open_or_close,,Gunshot_or_gunfire
09f55e64.wav,Clarinet,Saxophone,Oboe,Clarinet,Clarinet
0a001dfe.wav,Chime,Gong,Bus,,Chime
0a00b1a8.wav,Saxophone,Harmonica,Meow,,Saxophone
0a0b26cc.wav,Bass_drum,Flute,Knock,Bass_drum,Bass_drum
0a23fde2.wav,Meow,Squeak,Writing,,Meow
0a3d6e55.wav,Microwave_oven,Drawer_open_or_close,Fart,,Microwave_oven
0a429107.wav,Gunshot_or_gunfire,Scissors,Shatter,,Scissors
0a5cbf90.wav,Chime,Acoustic_guitar,Glockenspiel,,Chime
0a5f818e.wav,Bus,Flute,Chime,,Bus
0a6219e5.wav,Cello,Double_bass,Fart,,Cello
0a67826b.wav,Bass_drum,Knock,Double_bass,Bass_drum,Bass_drum
0a695221.wav,Shatter,Scissors,Fireworks,,Scissors
0a6ecade.wav,Bass_drum,Knock,Hi-hat,Bass_drum,Bass_drum
0a71e42d.wav,Bass_drum,Knock,Writing,Bass_drum,Bass_drum
